Duke, Blue Devils
Michigan State, Spartans
Gonzaga, Bulldogs
Texas Tech, Red Raiders
Virginia, Cavaliers
Purdue, Boilermakers
Auburn, Tigers
Kentucky, Wildcats
UCF, Knights
Liberty, Flames
Virginia Tech, Hokies
Maryland, Terrapins
LSU, Tigers
Minnesota, Golden Gophers
Baylor, Bears
Murray State, Racers
Florida State, Seminoles
Buffalo, Bulls
Florida, Gators
Michigan, Wolverines
Oklahoma, Sooners
Oregon, Ducks
UC Irvine, Anteaters
Villanova, Wildcats
Iowa, Hawkeyes
Tennessee, Volunteers
North Carolina, Tar Heels
Washington, Huskies
Kansas, Jayhawks
Ohio State, Buckeyes
Houston, Cougars
Wofford, Terriers
